date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2020-01-02,23.37,19.81,27.9,0.0,90.2,8.388,1016.9401154843067
2020-01-03,24.28,19.68,29.59,0.0,93.6,7.5600000000000005,1015.8734696740651
2020-01-04,24.91,19.98,29.81,0.0,96.0,4.572,1014.0601717966543
2020-01-05,24.18,20.12,29.25,0.0,97.9,9.864,1014.3801655397268
2020-01-06,23.38,19.15,29.01,0.02,86.1,13.104000000000001,1016.0867988361134
2020-01-07,22.94,18.47,28.91,0.01,82.0,11.808,1015.8734696740651
2020-01-08,22.69,17.63,29.17,0.0,89.3,9.144,1015.4468113499685
2020-01-09,22.53,16.86,29.51,0.0,85.9,8.64,1015.126817606896
2020-01-10,22.22,16.71,28.8,0.0,83.8,12.204,1015.5534759309925
2020-01-11,21.04,15.32,28.36,0.0,77.5,12.528,1015.9801342550892
2020-01-12,21.75,15.29,28.94,0.0,83.2,11.448,1015.3401467689442
2020-01-13,22.52,16.78,29.26,0.0,94.3,7.2,1014.3801655397268
2020-01-14,21.98,16.02,29.65,0.0,90.3,7.956,1014.1668363776785
2020-01-15,21.08,15.09,28.96,0.0,85.4,9.648000000000001,1014.5934947017752
2020-01-16,21.67,14.89,29.07,0.0,88.1,7.920000000000001,1014.486830120751
2020-01-17,23.29,16.18,30.13,0.07,92.1,8.1,1014.5934947017752
2020-01-18,24.23,19.06,30.46,2.7,82.3,11.879999999999999,1014.3801655397268
2020-01-19,23.37,18.54,29.97,1.52,84.2,12.024,1015.126817606896
2020-01-20,23.32,17.69,30.69,0.01,82.2,11.556000000000001,1016.0867988361134
2020-01-21,22.9,17.37,30.48,0.0,75.5,12.924,1016.6201217412341
2020-01-22,23.31,16.74,30.92,0.0,78.0,14.688,1016.4067925791859
2020-01-23,23.8,18.7,30.76,0.0,78.7,14.832,1015.9801342550892
2020-01-24,22.11,14.96,30.92,0.0,78.6,13.284,1016.3001279981617
2020-01-25,21.92,14.79,31.46,0.0,80.8,10.188,1016.1934634171374
2020-01-26,23.19,15.48,31.45,0.0,85.4,8.028,1015.3401467689442
2020-01-27,24.13,16.61,31.99,0.0,89.7,6.9479999999999995,1015.0201530258717
2020-01-28,24.45,18.61,31.38,0.0,110.0,5.328,1015.4468113499685
2020-01-29,24.86,18.15,32.39,0.0,106.4,5.652,1015.8734696740651
2020-01-30,25.16,18.91,33.16,0.0,96.6,6.228,1014.9134884448476
2020-01-31,24.39,18.67,32.56,0.0,88.8,8.712,1013.8468426346061
2020-02-01,24.43,18.39,31.81,0.0,92.0,9.972,1015.126817606896
2020-02-02,23.39,17.58,31.3,0.0,87.8,11.484,1017.0467800653307
2020-02-03,23.66,17.41,31.57,0.0,88.2,10.296,1016.3001279981617
2020-02-04,24.37,17.54,31.79,0.3,92.8,10.116,1015.0201530258717
2020-02-05,24.2,17.85,30.88,1.3,90.7,8.388,1015.5534759309925
2020-02-06,24.62,17.48,32.63,0.63,90.0,7.488,1015.3401467689442
2020-02-07,24.48,18.91,30.86,0.3,113.9,5.9399999999999995,1015.766805093041
2020-02-08,25.26,19.94,32.85,0.0,217.8,5.292,1015.766805093041
2020-02-09,25.18,19.51,32.13,0.46,91.7,9.576,1015.766805093041
2020-02-10,25.46,19.19,32.79,0.04,86.1,13.932,1015.4468113499685
2020-02-11,24.73,18.19,32.74,0.0,83.0,15.552000000000001,1016.3001279981617
2020-02-12,25.23,17.65,32.97,0.0,80.8,14.328,1017.4734383894273
2020-02-13,24.62,17.5,33.68,0.0,79.0,12.06,1016.4067925791859
2020-02-14,25.42,17.29,33.92,0.0,95.9,7.308,1015.0201530258717
2020-02-15,25.97,18.01,34.92,0.0,91.2,7.524,1014.9134884448476
2020-02-16,24.56,16.57,34.33,0.0,81.9,11.052,1016.0867988361134
2020-02-17,24.22,16.2,34.04,0.0,79.9,12.024,1016.6201217412341
2020-02-18,24.15,16.9,33.88,0.0,80.7,12.456,1016.3001279981617
2020-02-19,23.28,17.06,31.44,0.0,84.6,12.096,1015.6601405120168
2020-02-20,23.74,16.33,33.42,0.0,78.2,14.184,1015.4468113499685
2020-02-21,25.49,16.01,33.92,0.0,79.0,14.58,1016.7267863222582
2020-02-22,26.4,20.15,34.36,0.0,78.5,17.64,1016.9401154843067
2020-02-23,25.83,19.89,33.79,0.0,80.8,14.976,1015.9801342550892
2020-02-24,25.97,19.86,34.16,0.0,87.1,12.744,1014.2735009587028
2020-02-25,26.88,19.93,35.54,0.0,94.0,8.532,1013.3135197294853
2020-02-26,27.09,20.34,35.23,0.08,94.7,10.692,1013.9535072156302
2020-02-27,27.76,20.29,35.19,0.04,91.2,11.448,1013.8468426346061
2020-02-28,27.32,21.62,33.92,0.13,88.3,11.808,1013.100190567437
2020-02-29,27.37,21.17,34.38,0.03,103.0,7.704000000000001,1013.100190567437
2020-03-01,27.36,21.52,34.93,2.91,89.2,8.172,1013.740178053582
2020-03-02,24.1,21.02,28.11,2.15,70.2,5.472,1014.8068238638234
2020-03-03,24.57,20.93,28.9,0.42,180.0,5.760000000000001,1014.8068238638234
2020-03-04,25.8,21.8,31.68,0.46,30.9,5.292,1013.3135197294853
2020-03-05,26.79,22.04,33.41,0.17,233.0,8.568,1012.6735322433403
2020-03-06,27.74,21.8,35.1,0.01,242.8,8.748000000000001,1013.100190567437
2020-03-07,27.88,22.2,35.59,0.0,247.8,9.432,1014.2735009587028
2020-03-08,28.39,22.06,35.43,0.96,241.4,4.644,1013.9535072156302
2020-03-09,28.86,22.99,36.2,0.11,178.7,5.112,1012.9935259864129
2020-03-10,29.09,22.16,37.7,0.0,115.6,6.6240000000000006,1012.8868614053886
2020-03-11,29.04,21.75,37.42,1.42,211.2,6.372,1013.5268488915335
2020-03-12,28.49,21.16,36.76,0.16,96.9,7.092,1014.2735009587028
2020-03-13,28.12,20.56,36.69,0.0,93.3,9.648000000000001,1014.3801655397268
2020-03-14,28.58,20.94,37.14,0.0,91.4,9.107999999999999,1013.3135197294853
2020-03-15,28.7,21.57,37.11,0.0,90.3,10.836,1013.3135197294853
2020-03-16,28.97,21.77,37.35,0.0,89.0,11.772,1014.3801655397268
2020-03-17,28.56,21.05,36.83,0.0,88.5,13.5,1015.5534759309925
2020-03-18,28.81,20.54,36.92,0.0,93.1,9.972,1015.126817606896
2020-03-19,29.56,21.64,38.39,0.0,119.4,7.488,1014.1668363776785
2020-03-20,29.57,22.62,37.35,1.25,265.2,6.48,1013.9535072156302
2020-03-21,28.08,22.43,35.84,4.22,234.3,5.436,1013.8468426346061
2020-03-22,29.21,22.15,36.35,0.2,230.5,5.004,1013.5268488915335
2020-03-23,29.14,23.21,35.88,0.36,128.5,4.896000000000001,1012.9935259864129
2020-03-24,29.7,22.87,37.14,0.02,104.8,7.272,1011.3935572710504
2020-03-25,29.09,22.59,35.94,0.09,100.3,7.164,1012.0335447571954
2020-03-26,29.09,22.02,36.95,0.0,87.7,11.448,1012.7801968243646
2020-03-27,29.21,22.23,37.06,0.0,92.5,9.107999999999999,1014.2735009587028
2020-03-28,29.32,21.8,38.03,0.04,86.2,7.272,1012.9935259864129
2020-03-29,29.44,22.17,38.28,0.02,96.6,6.5520000000000005,1012.4602030812921
2020-03-30,29.37,22.03,38.22,0.46,81.8,9.18,1013.100190567437
2020-03-31,29.35,21.34,38.12,0.04,88.6,10.26,1013.6335134725578
2020-04-01,29.59,21.46,37.99,0.0,89.2,10.692,1013.100190567437
2020-04-02,30.59,23.15,38.56,0.0,103.7,8.82,1012.1402093382195
2020-04-03,30.24,23.23,38.65,0.0,104.1,7.2,1012.7801968243646
2020-04-04,30.26,22.66,38.84,0.01,119.1,4.896000000000001,1013.5268488915335
2020-04-05,30.47,23.42,38.27,0.75,184.3,8.28,1014.486830120751
2020-04-06,28.89,24.41,34.49,2.11,251.8,5.760000000000001,1014.1668363776785
2020-04-07,25.36,22.48,28.85,1.9,265.1,4.032000000000001,1014.0601717966543
