date,forecast
2025-11-03,3092.72286385543
2025-11-04,3091.6957277108604
2025-11-05,3090.6685915662906
2025-11-06,3089.6414554217204
2025-11-07,3088.6143192771506
2025-11-08,3087.587183132581
2025-11-09,3086.560046988011
2025-11-10,3082.4681008744733
2025-11-11,3078.376154760935
2025-11-12,3074.2842086473975
2025-11-13,3070.1922625338593
2025-11-14,3066.1003164203216
2025-11-15,3062.0083703067835
2025-11-16,3057.916424193246
2025-11-17,3062.8464666729005
2025-11-18,3067.7765091525557
2025-11-19,3072.7065516322104
2025-11-20,3077.6365941118656
2025-11-21,3082.5666365915204
2025-11-22,3087.4966790711755
2025-11-23,3092.4267215508303
2025-11-24,3090.1734955576662
2025-11-25,3087.920269564502
2025-11-26,3085.667043571338
2025-11-27,3083.4138175781736
2025-11-28,3081.1605915850096
2025-11-29,3078.9073655918455
2025-11-30,3076.6541395986815
2025-12-01,3078.3168394303616
2025-12-02,3079.9795392620413
2025-12-03,3081.6422390937214
2025-12-04,3083.3049389254015
2025-12-05,3084.9676387570817
2025-12-06,3086.6303385887613
2025-12-07,3088.2930384204415
2025-12-08,3085.9744122852385
2025-12-09,3083.655786150036
2025-12-10,3081.337160014833
2025-12-11,3079.0185338796305
2025-12-12,3076.6999077444275
2025-12-13,3074.381281609225
2025-12-14,3072.062655474022
2025-12-15,3074.657346792385
2025-12-16,3077.252038110748
2025-12-17,3079.846729429111
2025-12-18,3082.4414207474742
2025-12-19,3085.036112065837
2025-12-20,3087.6308033842
2025-12-21,3090.225494702563
2025-12-22,3088.08020043806
2025-12-23,3085.9349061735566
2025-12-24,3083.7896119090533
2025-12-25,3081.64431764455
2025-12-26,3079.4990233800468
2025-12-27,3077.3537291155435
2025-12-28,3075.2084348510402
2025-12-29,3077.069750606717
2025-12-30,3078.9310663623946
2025-12-31,3080.7923821180716
2026-01-01,3082.653697873749
2026-01-02,3084.515013629426
2026-01-03,3086.3763293851034
2026-01-04,3088.2376451407804
2026-01-05,3086.5365628616723
2026-01-06,3084.8354805825647
2026-01-07,3083.1343983034567
2026-01-08,3081.4333160243486
2026-01-09,3079.7322337452406
2026-01-10,3078.031151466133
2026-01-11,3076.330069187025
2026-01-12,3077.9595926458105
2026-01-13,3079.5891161045956
2026-01-14,3081.218639563381
2026-01-15,3082.8481630221663
2026-01-16,3084.477686480952
2026-01-17,3086.107209939737
2026-01-18,3087.7367333985226
2026-01-19,3086.2845252267953
2026-01-20,3084.8323170550675
2026-01-21,3083.38010888334
2026-01-22,3081.9279007116124
2026-01-23,3080.475692539885
2026-01-24,3079.0234843681574
2026-01-25,3077.57127619643
2026-01-26,3078.888924136776
2026-01-27,3080.206572077122
2026-01-28,3081.524220017468
2026-01-29,3082.8418679578144
2026-01-30,3084.1595158981604
2026-01-31,3085.4771638385064
