date,forecast
2025-05-05,3480.7607155374544
2025-05-06,3461.521431074909
2025-05-07,3442.2821466123632
2025-05-08,3423.042862149818
2025-05-09,3403.8035776872725
2025-05-10,3384.564293224727
2025-05-11,3365.3250087621814
2025-05-12,3406.069316228237
2025-05-13,3446.8136236942923
2025-05-14,3487.557931160348
2025-05-15,3528.302238626404
2025-05-16,3569.0465460924593
2025-05-17,3609.7908535585148
2025-05-18,3650.5351610245702
2025-05-19,3662.8303001800987
2025-05-20,3675.125439335627
2025-05-21,3687.4205784911555
2025-05-22,3699.7157176466844
2025-05-23,3712.010856802213
2025-05-24,3724.3059959577413
2025-05-25,3736.6011351132697
2025-05-26,3700.814612839696
2025-05-27,3665.0280905661225
2025-05-28,3629.241568292549
2025-05-29,3593.4550460189753
2025-05-30,3557.6685237454017
2025-05-31,3521.882001471828
2025-06-01,3486.0954791982545
2025-06-02,3456.873103752899
2025-06-03,3427.6507283075434
2025-06-04,3398.428352862188
2025-06-05,3369.205977416833
2025-06-06,3339.9836019714776
2025-06-07,3310.761226526122
2025-06-08,3281.5388510807666
2025-06-09,3271.0040569544267
2025-06-10,3260.469262828087
2025-06-11,3249.934468701747
2025-06-12,3239.3996745754066
2025-06-13,3228.8648804490667
2025-06-14,3218.330086322727
2025-06-15,3207.795292196387
2025-06-16,3206.8812085553436
2025-06-17,3205.9671249143007
2025-06-18,3205.0530412732573
2025-06-19,3204.138957632214
2025-06-20,3203.2248739911706
2025-06-21,3202.3107903501277
2025-06-22,3201.3967067090844
2025-06-23,3202.513452139108
2025-06-24,3203.6301975691313
2025-06-25,3204.7469429991547
2025-06-26,3205.863688429178
2025-06-27,3206.9804338592016
2025-06-28,3208.097179289225
2025-06-29,3209.2139247192486
2025-06-30,3199.4841728969304
2025-07-01,3189.7544210746123
2025-07-02,3180.024669252294
2025-07-03,3170.2949174299765
2025-07-04,3160.5651656076584
2025-07-05,3150.8354137853403
2025-07-06,3141.105661963022
2025-07-07,3138.211044456891
2025-07-08,3135.31642695076
2025-07-09,3132.421809444629
2025-07-10,3129.5271919384977
2025-07-11,3126.6325744323667
2025-07-12,3123.7379569262357
2025-07-13,3120.8433394201047
2025-07-14,3123.8890059877644
2025-07-15,3126.934672555424
2025-07-16,3129.980339123084
2025-07-17,3133.0260056907437
2025-07-18,3136.0716722584034
2025-07-19,3139.117338826063
2025-07-20,3142.163005393723
2025-07-21,3150.0034562884043
2025-07-22,3157.8439071830853
2025-07-23,3165.684358077767
2025-07-24,3173.524808972448
2025-07-25,3181.3652598671297
2025-07-26,3189.2057107618107
2025-07-27,3197.046161656492
2025-07-28,3201.7081864353163
2025-07-29,3206.3702112141405
2025-07-30,3211.0322359929646
2025-07-31,3215.694260771789
2025-08-01,3220.356285550613
2025-08-02,3225.018310329437
