model_name,rmse,mae,mape_pct,notes
ARIMA,389.7451167544741,334.49085976066647,8.705116170077103,
Hybrid_ARIMAX_LSTM,431.46376953133085,364.6364524881944,9.381548941648424,ARIMAX base optimizer reported non-convergence on holdout fit.
ARIMAX,467.62246383525746,375.45094190452943,9.874950351317786,SARIMAX optimizer reported non-convergence on holdout fit.
Tabular,528.0723665111578,461.18770769927784,12.111656524874373,Tabular model: GradientBoostingRegressor
