model_name,rmse,mae,mape_pct
Tabular_GBM,632.6743115264277,544.7519110828322,12.960723426471981
Standalone_LSTM,1245.9475815410772,1157.2326484809018,25.724328717865358
ARIMA,1559.6281926679108,1477.3836804138055,33.05863577927292
ARIMAX,1583.38022721424,1507.2779899985821,33.81417314102282
Hybrid_ARIMAX_LSTM,1583.38022721424,1507.2779899985821,33.81417314102282
