date,forecast
2025-05-05,7738.932437280149
2025-05-06,7761.199874560299
2025-05-07,7783.467311840448
2025-05-08,7805.734749120597
2025-05-09,7828.002186400747
2025-05-10,7850.269623680896
2025-05-11,7872.537060961045
2025-05-12,7895.468723195089
2025-05-13,7918.400385429132
2025-05-14,7941.332047663176
2025-05-15,7964.263709897219
2025-05-16,7987.195372131263
2025-05-17,8010.127034365306
2025-05-18,8033.05869659935
2025-05-19,8051.779498921955
2025-05-20,8070.50030124456
2025-05-21,8089.221103567165
2025-05-22,8107.94190588977
2025-05-23,8126.662708212375
2025-05-24,8145.383510534981
2025-05-25,8164.104312857586
2025-05-26,8176.476815657934
2025-05-27,8188.849318458283
2025-05-28,8201.22182125863
2025-05-29,8213.59432405898
2025-05-30,8225.966826859329
2025-05-31,8238.339329659677
2025-06-01,8250.711832460025
2025-06-02,8258.045181334111
2025-06-03,8265.378530208198
2025-06-04,8272.711879082284
2025-06-05,8280.04522795637
2025-06-06,8287.378576830457
2025-06-07,8294.711925704543
2025-06-08,8302.04527457863
2025-06-09,8306.01464047699
2025-06-10,8309.984006375349
2025-06-11,8313.953372273709
2025-06-12,8317.922738172067
2025-06-13,8321.892104070426
2025-06-14,8325.861469968786
2025-06-15,8329.830835867146
2025-06-16,8331.748193210751
2025-06-17,8333.665550554359
2025-06-18,8335.582907897964
2025-06-19,8337.50026524157
2025-06-20,8339.417622585175
2025-06-21,8341.334979928783
2025-06-22,8343.252337272388
2025-06-23,8343.973558179418
2025-06-24,8344.694779086449
2025-06-25,8345.415999993478
2025-06-26,8346.13722090051
2025-06-27,8346.858441807539
2025-06-28,8347.57966271457
2025-06-29,8348.3008836216
2025-06-30,8348.557092338002
2025-07-01,8348.813301054402
2025-07-02,8349.069509770805
2025-07-03,8349.325718487205
2025-07-04,8349.581927203608
2025-07-05,8349.838135920008
2025-07-06,8350.09434463641
2025-07-07,8348.202702182973
2025-07-08,8346.311059729534
2025-07-09,8344.419417276096
2025-07-10,8342.527774822656
2025-07-11,8340.636132369218
2025-07-12,8338.74448991578
2025-07-13,8336.852847462342
2025-07-14,8335.418248710077
2025-07-15,8333.98364995781
2025-07-16,8332.549051205546
2025-07-17,8331.11445245328
2025-07-18,8329.679853701015
2025-07-19,8328.245254948748
2025-07-20,8326.810656196483
2025-07-21,8326.241071613664
2025-07-22,8325.671487030842
2025-07-23,8325.101902448023
2025-07-24,8324.532317865203
2025-07-25,8323.962733282384
2025-07-26,8323.393148699563
2025-07-27,8322.823564116743
2025-07-28,8322.826755218928
2025-07-29,8322.829946321113
2025-07-30,8322.833137423298
2025-07-31,8322.836328525482
2025-08-01,8322.839519627667
2025-08-02,8322.842710729852
