date,predicted_modal_price
2025-01-06,20000.0
2025-01-07,20000.0
2025-01-08,20000.0
2025-01-09,20000.0
2025-01-10,20000.0
2025-01-11,20000.0
2025-01-12,20000.0
2025-01-13,20000.0
2025-01-14,20000.0
2025-01-15,20000.0
2025-01-16,20000.0
2025-01-17,20000.0
2025-01-18,20000.0
2025-01-19,20000.0
2025-01-20,20000.0
2025-01-21,20000.0
2025-01-22,20000.0
2025-01-23,20000.0
2025-01-24,20000.0
2025-01-25,20000.0
2025-01-26,20000.0
2025-01-27,20000.0
2025-01-28,20000.0
2025-01-29,20000.0
2025-01-30,20000.0
2025-01-31,20000.0
2025-02-01,20000.0
2025-02-02,20000.0
2025-02-03,20000.0
2025-02-04,20000.0
2025-02-05,20000.0
2025-02-06,20000.0
2025-02-07,20000.0
2025-02-08,20000.0
2025-02-09,20000.0
2025-02-10,20000.0
2025-02-11,20000.0
2025-02-12,20000.0
2025-02-13,20000.0
2025-02-14,20000.0
2025-02-15,20000.0
2025-02-16,20000.0
2025-02-17,20000.0
2025-02-18,20000.0
2025-02-19,20000.0
2025-02-20,20000.0
2025-02-21,20000.0
2025-02-22,20000.0
2025-02-23,20000.0
2025-02-24,20000.0
2025-02-25,20000.0
2025-02-26,20000.0
2025-02-27,20000.0
2025-02-28,20000.0
2025-03-01,20000.0
2025-03-02,20000.0
2025-03-03,20000.0
2025-03-04,20000.0
2025-03-05,20000.0
2025-03-06,20000.0
2025-03-07,20000.0
2025-03-08,20000.0
2025-03-09,20000.0
2025-03-10,20000.0
2025-03-11,20000.0
2025-03-12,20000.0
2025-03-13,20000.0
2025-03-14,20000.0
2025-03-15,20000.0
2025-03-16,20000.0
2025-03-17,20000.0
2025-03-18,20000.0
2025-03-19,20000.0
2025-03-20,20000.0
2025-03-21,20000.0
2025-03-22,20000.0
2025-03-23,20000.0
2025-03-24,20000.0
2025-03-25,20000.0
2025-03-26,20000.0
2025-03-27,20000.0
2025-03-28,20000.0
2025-03-29,20000.0
2025-03-30,20000.0
2025-03-31,20000.0
2025-04-01,20000.0
2025-04-02,20000.0
2025-04-03,20000.0
2025-04-04,20000.0
2025-04-05,20000.0
