model_name,rmse,mae,mape_pct,notes
ARIMA,141.80414797054627,129.85318544733894,4.327704615158168,
ARIMAX,160.06077359874314,150.52466665589483,5.039828008412936,SARIMAX optimizer reported non-convergence on holdout fit.
Hybrid_ARIMAX_LSTM,169.47024456880587,159.41462113441867,5.348215011341406,ARIMAX base optimizer reported non-convergence on holdout fit.
Tabular,189.58578330277848,155.68143487000725,5.1146716933630065,Tabular model: GradientBoostingRegressor
