date,forecast
2025-01-06,2851.3383298407866
2025-01-07,2852.6766596815737
2025-01-08,2854.0149895223603
2025-01-09,2855.353319363147
2025-01-10,2856.6916492039336
2025-01-11,2858.0299790447207
2025-01-12,2859.3683088855073
2025-01-13,2859.2522330923953
2025-01-14,2859.136157299283
2025-01-15,2859.0200815061708
2025-01-16,2858.9040057130583
2025-01-17,2858.7879299199462
2025-01-18,2858.6718541268338
2025-01-19,2858.5557783337217
2025-01-20,2858.7137753223165
2025-01-21,2858.871772310911
2025-01-22,2859.029769299506
2025-01-23,2859.187766288101
2025-01-24,2859.345763276696
2025-01-25,2859.5037602652906
2025-01-26,2859.6617572538853
2025-01-27,2859.6900953632717
2025-01-28,2859.7184334726576
2025-01-29,2859.746771582044
2025-01-30,2859.77510969143
2025-01-31,2859.8034478008162
2025-02-01,2859.831785910202
2025-02-02,2859.8601240195885
2025-02-03,2859.8907245694936
2025-02-04,2859.9213251193983
2025-02-05,2859.9519256693034
2025-02-06,2859.982526219208
2025-02-07,2860.013126769113
2025-02-08,2860.0437273190178
2025-02-09,2860.074327868923
2025-02-10,2860.0870685008654
2025-02-11,2860.099809132808
2025-02-12,2860.1125497647504
2025-02-13,2860.1252903966924
2025-02-14,2860.138031028635
2025-02-15,2860.1507716605774
2025-02-16,2860.16351229252
2025-02-17,2860.1715000074423
2025-02-18,2860.1794877223642
2025-02-19,2860.1874754372866
2025-02-20,2860.195463152209
2025-02-21,2860.2034508671313
2025-02-22,2860.2114385820532
2025-02-23,2860.2194262969756
2025-02-24,2860.223514545688
2025-02-25,2860.227602794401
2025-02-26,2860.231691043113
2025-02-27,2860.235779291826
2025-02-28,2860.2398675405384
2025-03-01,2860.2439557892512
2025-03-02,2860.2480440379636
2025-03-03,2860.2503457983203
2025-03-04,2860.2526475586765
2025-03-05,2860.254949319033
2025-03-06,2860.25725107939
2025-03-07,2860.2595528397464
2025-03-08,2860.2618546001027
2025-03-09,2860.2641563604593
2025-03-10,2860.26539393068
2025-03-11,2860.2666315009005
2025-03-12,2860.2678690711214
2025-03-13,2860.2691066413418
2025-03-14,2860.2703442115626
2025-03-15,2860.271581781783
2025-03-16,2860.272819352004
2025-03-17,2860.2734995401793
2025-03-18,2860.2741797283547
2025-03-19,2860.27485991653
2025-03-20,2860.2755401047057
2025-03-21,2860.276220292881
2025-03-22,2860.2769004810566
2025-03-23,2860.277580669232
2025-03-24,2860.277950585089
2025-03-25,2860.278320500946
2025-03-26,2860.278690416803
2025-03-27,2860.27906033266
2025-03-28,2860.2794302485167
2025-03-29,2860.2798001643737
2025-03-30,2860.2801700802306
2025-03-31,2860.280372275979
2025-04-01,2860.280574471728
2025-04-02,2860.2807766674764
2025-04-03,2860.280978863225
2025-04-04,2860.2811810589733
2025-04-05,2860.281383254722
